epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,591.623,1.48241,0.97305,1.56043,0.89608,0.84123,0.90945,0.50995,1.5817,0.92876,1.5431,0.0004358,0.0004358,0.0004358
81,598.392,1.46359,0.91715,1.49916,0.90076,0.83015,0.9077,0.50061,1.59205,0.90517,1.54038,0.000416,0.000416,0.000416
82,607.7,1.44643,0.92354,1.50299,0.89481,0.82992,0.91312,0.47565,1.62967,0.92001,1.55281,0.0003962,0.0003962,0.0003962
83,614.171,1.43922,0.90653,1.50949,0.88327,0.87665,0.92439,0.50407,1.60219,0.91664,1.56057,0.0003764,0.0003764,0.0003764
84,624.424,1.46595,0.92896,1.52161,0.9179,0.81811,0.89891,0.48057,1.61763,0.93822,1.55854,0.0003566,0.0003566,0.0003566
85,631.492,1.43956,0.90728,1.48441,0.90671,0.82974,0.89499,0.49679,1.61452,0.92178,1.56245,0.0003368,0.0003368,0.0003368
86,640.257,1.44306,0.89292,1.49205,0.93198,0.83545,0.91036,0.47861,1.61418,0.92394,1.54872,0.000317,0.000317,0.000317
87,648.057,1.42613,0.87958,1.47321,0.90956,0.79723,0.88499,0.43335,1.70236,0.97542,1.61278,0.0002972,0.0002972,0.0002972
88,655.218,1.43253,0.88062,1.4726,0.91953,0.83611,0.90997,0.49221,1.63171,0.92633,1.55073,0.0002774,0.0002774,0.0002774
89,663.833,1.40273,0.89792,1.50822,0.94033,0.79878,0.90747,0.49089,1.61773,0.91885,1.54639,0.0002576,0.0002576,0.0002576
90,669.707,1.4099,0.86839,1.4894,0.9284,0.84146,0.91183,0.49465,1.60515,0.88789,1.52921,0.0002378,0.0002378,0.0002378
91,682.125,1.33436,1.01318,1.5227,0.89423,0.82317,0.89056,0.48011,1.58833,0.96618,1.54055,0.000218,0.000218,0.000218
92,687.52,1.33924,0.91634,1.4929,0.913,0.83189,0.89783,0.50289,1.57161,0.9828,1.53411,0.0001982,0.0001982,0.0001982
93,695.075,1.31944,0.88731,1.49142,0.88068,0.81707,0.89779,0.50373,1.6068,0.95891,1.5637,0.0001784,0.0001784,0.0001784
94,702.797,1.30495,0.86215,1.46583,0.93016,0.79878,0.90776,0.48755,1.65095,0.93052,1.58714,0.0001586,0.0001586,0.0001586
95,708.635,1.34177,0.84538,1.42994,0.91082,0.81098,0.90387,0.47804,1.63707,0.92469,1.56876,0.0001388,0.0001388,0.0001388
96,717.047,1.32803,0.86128,1.4632,0.88407,0.85366,0.92113,0.4992,1.58296,0.89039,1.52513,0.000119,0.000119,0.000119
97,723.92,1.28775,0.83577,1.39213,0.88122,0.87195,0.93575,0.51152,1.56845,0.87049,1.51576,9.92e-05,9.92e-05,9.92e-05
98,730.414,1.29457,0.82186,1.42565,0.88346,0.87195,0.93695,0.51418,1.58367,0.87203,1.52505,7.94e-05,7.94e-05,7.94e-05
99,739.51,1.25302,0.83304,1.43299,0.88619,0.87195,0.92835,0.50274,1.60257,0.88166,1.53422,5.96e-05,5.96e-05,5.96e-05
100,745.1,1.26574,0.82987,1.41041,0.92741,0.82927,0.92178,0.50341,1.60921,0.88946,1.5374,3.98e-05,3.98e-05,3.98e-05
